Book,Author(s),Original language,First published,Approximate sales in millions,Genre,,,,,
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction,Author(s),J. K. Rowling,,,
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,Novella,,,,,
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,Fantasy,Count of Book,Column Labels,,,
And Then There Were None,Agatha Christie,English,1939,100,Mystery,Row Labels,65,77,120,Grand Total
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga,Harry Potter and the Chamber of Secrets,,1,,1
The Hobbit,J. R. R. Tolkien,English,1937,100,Fantasy,Harry Potter and the Deathly Hallows,1,,,1
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,"Fantasy, Children's fiction",Harry Potter and the Goblet of Fire,1,,,1
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure,Harry Potter and the Half-Blood Prince,1,,,1
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller,Harry Potter and the Order of the Phoenix,1,,,1
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80,Detective,Harry Potter and the Philosopher's Stone,,,1,1
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy,Harry Potter and the Prisoner of Azkaban,1,,,1
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy,Grand Total,5,1,1,7
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy,,,,,
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy,,,,,
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy,,,,,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy,,,,,
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy,,,,,
The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age,Row Labels,Sum of Approximate sales in millions,,,
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance,Chinese,140,,,
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel,Czech,20,,,
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50,Historical fiction,Dutch,35,,,
Black Beauty,Anna Sewell,English,1877,50,Children's literature,English,3966,,,
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's fiction,French,257,,,
Heidi,Johanna Spyri,German,1880,50,Children's fiction,German,113,,,
Lolita,Vladimir Nabokov,English,1955,50,Novel,Gujarati,10,,,
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism,Hindi,100,,,
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual,Italian,110.5,,,
The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller",Japanese,72,,,
The Ginger Man,J. P. Donleavy,English,1955,50,Novel,Norwegian,60,,,
The Hite Report,Shere Hite,English,1976,50,Sexology,Portuguese,65,,,
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery",Russian,163.4,,,
Watership Down,Richard Adams,English,1972,50,Fantasy,Spanish,75,,,
You Can Heal Your Life,Louise Hay,English,1984,50,Self-help,Swedish,40,,,
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Literature,Yiddish,10,,,
Jonathan Livingston Seagull,Richard Bach,English,1970,44,"Novella, Self-help",Grand Total,5236.9,,,
The Very Hungry Caterpillar,Eric Carle,English,1969,43,"Children's Literature, picture book",,,,,
A Message to Garcia,Elbert Hubbard,English,1899,40,Essay/Literature,,,,,
Cosmos,Carl Sagan,English,1980,40,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History",,,,,
Flowers in the Attic,V. C. Andrews,English,1979,40,"Gothic horror, Family saga",Row Labels,Sum of Approximate sales in millions,,,
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,"Philosophical novel, Young adult",J. K. Rowling,522,,,
To Kill a Mockingbird,Harper Lee,English,1960,40,"Southern Gothic, Bildungsroman",Charles Dickens,200,,,
Angels & Demons,Dan Brown,English,2000,39,Mystery-thriller,Antoine de Saint-Exupéry,200,,,
Kane and Abel,Jeffrey Archer,English,1979,37,Novel,Dan Brown,149,,,
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4,Socialist realist novel,J. R. R. Tolkien,100,,,
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36,Historical novel,Agatha Christie,100,,,
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction",Cao Xueqin,100,,,
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature",C. S. Lewis,85,,,
Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help,H. Rider Haggard,83,,,
The Purpose Driven Life,Rick Warren,English,2002,33,Christian literature,Ved Prakash Sharma,80,,,
The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga,Suzanne Collins,70,,,
The Kite Runner,Khaled Hosseini,English,2003,31.5,"Bildungsroman, Historical fiction",Paulo Coelho,65,,,
Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel,J. D. Salinger,65,,,
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30,Self-help,Roald Dahl,65,,,
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction,Robert James Waller,60,,,
How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help,E. B. White; illustrated by Garth Williams,50,,,
Nineteen Eighty-Four,George Orwell,English,1949,30,"Dystopian, political fiction, social science fiction",Louise Hay,50,,,
Rebecca,Daphne du Maurier,English,1938,30,Gothic novel,Lew Wallace,50,,,
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction,Richard Adams,50,,,
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy",Lucy Maud Montgomery,50,,,
The Lost Symbol,Dan Brown,English,2009,30,Fiction,Anna Sewell,50,,,
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction,Umberto Eco,50,,,
The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction,Benjamin Spock,50,,,
Who Moved My Cheese?,Spencer Johnson,English,1998,29,"Self-help, motivational, business fable, psychology, leadership, parable",Jack Higgins,50,,,
James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel,Shere Hite,50,,,
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel,Johanna Spyri,50,,,
A Brief History of Time,Stephen Hawking,English,1988,25,Popular science,George Orwell,50,,,
Lust for Life,Irving Stone,English,1934,25,Biographical novel,Gabriel García Márquez,50,,,
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel,J. P. Donleavy,50,,,
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help,Vladimir Nabokov,50,,,
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature,Beatrix Potter,45,,,
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel,Richard Bach,44,,,
The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel,Eric Carle,43,,,
The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel,Harper Lee,40,,,
The Girl on the Train,Paula Hawkins,English,2015,23,Thriller,V. C. Andrews,40,,,
The Shack,William P. Young,English,2007,22.5,Novel,Elbert Hubbard,40,,,
Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction",Carl Sagan,40,,,
Love Story,Erich Segal,English,1970,21,Romance novel,Jostein Gaarder,40,,,
The Godfather,Mario Puzo,English,1969,21,Crime novel,Jeffrey Archer,37,,,
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book",Nikolai Ostrovsky,36.4,,,
